angle,distance,type
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-29.227675596128336,2.991166625993909,0
-29.227675596128336,2.991166625993909,0
-29.227675596128336,2.981425031493639,0
-29.227675596128336,2.981425031493639,0
-29.227675596128336,2.981425031493639,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,3.0016803045344282,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,2.9919372304904073,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-28.971532223711296,3.011425292397634,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,4.004275239763652,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-29.48446128370136,3.994330025555464,0
-20.344027730694314,0.9937326676935235,0
-20.344027730694314,0.9937326676935235,0
-20.344027730694314,0.9937326676935235,0
-20.344027730694314,0.9937326676935235,0
-20.344027730694314,0.9937326676935235,0
-20.344027730694314,0.9937326676935235,0
